sensor_name,location,formatted_address,latitude,longitude,place_id
八掌溪寮堤防淹水高度,後壁區,,,,
八里渡船頭淹水高度,八里區,,,,
公園路593巷,台南市北區,,,,
冬山鄉三堵路淹水深度(039595554),冬山鄉,,,,
冬山鄉東八路淹水深度(RTWT-1031-1),冬山鄉,,,,
冬山鄉珍珠二路淹水深度(RTWT-2151-1),冬山鄉,,,,
北區舊港里1鄰淹水深度(035362574),北區（新竹市）,,,,
北區舊港里淹水深度(035361483),北區（新竹市）,,,,
北投區大業路淹水深度(22531032935),北投區,,,,
北投區大業路淹水深度(0228942746),北投區,,,,
卑南鄉溫泉路408巷淹水深度(089513885),卑南鄉,,,,
卑南鄉溫泉路淹水深度(089511696),卑南鄉,,,,
南投市南營路淹水深度(6244318708),南投市,,,,
南投市南龍排水淹水深度(5674645959-2),南投市,,,,
南投市小溪橋淹水深度(5674645959),南投市,,,,
南投市東山路淹水深度(6013355700),南投市,,,,
口湖鄉中正路淹水深度(057972139),口湖鄉,,,,
口湖鄉民主路淹水深度(13657284035),口湖鄉,,,,
口湖鄉民主路淹水深度(PKTT-4020),口湖鄉,,,,
口湖鄉興南國小淹水深度(PKKH-1020),口湖鄉,,,,
台東市中興路四段淹水深度(22603679094),臺東市,,,,
台東市中華路二段496號淹水深度(7607781755),臺東市,,,,
台東市中華路二段淹水深度(7607781755-2),臺東市,,,,
台東市太平路淹水深度(089385490),臺東市,,,,
台東市常德路淹水深度(7607781755-3),臺東市,,,,
吉安鄉榮光115號淹水深度(038544538),吉安鄉,,,,
吉安鄉海岸路淹水深度(038545695),吉安鄉,,,,
和美仁美市場淹水監控站,和美鎮,,,,
和美信義路101巷,和美鎮,,,,
員林市南平街淹水深度(6353202990),員林市,,,,
員林建大工業淹水監控站,員林市,,,,
嘉楠食品工業股份有限公司淹水高度,雲林縣元長鄉,,,,
土城區金城路三段淹水深度(PCTC-2270),土城區,,,,
土城區青雲路淹水深度(22602293380),土城區,,,,
土城區青雲路淹水深度(0222626421),土城區,,,,
土庫國中淹水高度,土庫鎮,,,,
埔心太平路淹水監控站,埔心鄉,,,,
埔心經口路57巷淹水監控站,埔心鄉,,,,
埔心興霖路380巷淹水監控站,埔心鄉,,,,
埤頭里永安宮前_淹水深度,埤頭鄉,,,,
埤頭里永安宮前淹水深度,埤頭鄉,,,,
壯圍鄉中央路1段淹水深度(YLQS-2225-1),壯圍鄉,,,,
壯圍鄉中興三路淹水深度(YLDS-1165-2),壯圍鄉,,,,
壯圍鄉新南路一段淹水深度(YLQS-2220-1),壯圍鄉,,,,
壯圍鄉新南路淹水深度(YLDS-1165-1),壯圍鄉,,,,
壯圍鄉新社路4號淹水深度(YLTW-1021),壯圍鄉,,,,
壯圍鄉新社路淹水深度(039308413),壯圍鄉,,,,
壯圍鄉東西13路淹水深度(YLDS-1160-1),壯圍鄉,,,,
壽豐鄉中山路六段淹水深度(038653837),壽豐鄉,,,,
大城公館排水淹水監控站,大城鄉,,,,
大城西港排水淹水監控站,大城鄉,,,,
大城鄉北勢路淹水深度(ULTJ-3041),大城鄉,,,,
大城鄉許厝巷淹水深度(048943151),大城鄉,,,,
大埤鄉興安村淹水深度(TLTP-2120),大埤鄉,,,,
大埤鄉西鎮村淹水深度(6373244691),大埤鄉,,,,
大安區基隆路三段淹水深度(22532629408),大安區,,,,
大安區基隆路三段淹水深度(0227375150),大安區,,,,
大寮區內坑路淹水深度(18384715005),大寮區,,,,
大林鎮明和里淹水深度(22671606298),大林鎮,,,,
大林鎮明和里淹水深度(052649823),大林鎮,,,,
大林鎮西結里淹水深度(22602521881),大林鎮,,,,
大林鎮西結里淹水深度(052694489),大林鎮,,,,
大里區工業五路淹水深度(TCTL-1180),大里區,,,,
安南區安中街淹水深度(062474784),安南區,,,,
安南區安中路一段淹水深度(6373903754-2),安南區,,,,
安南區長溪路一段淹水深度(6373903754),安南區,,,,
安樂區基金一路淹水深度(6013131993),安樂區,,,,
官田區渡頭里水門旁_淹水深度,官田區,,,,
宜梧順天宮管理委員會淹水高度,雲林縣口湖鄉,,,,
宜蘭市環市東路1段淹水深度(YLQS-2215-1),宜蘭市,,,,
宜蘭市縣民大道2段淹水深度(YLDS-2010-1),宜蘭市,,,,
小埤里普庵宮旁淹水深度,麻豆區,,,,
岡山區白米路淹水深度(076257776),岡山區,,,,
岡山區石潭路淹水深度(076258496),岡山區,,,,
崁前公墓淹水高度,嘉義縣朴子市,,,,
崁後里2淹水高度,嘉義縣朴子市,,,,
崙背國中淹水高度,崙背鄉,,,,
布袋考試里鹿寮_淹水深度,布袋鎮,,,,
平溪區靜安路二段淹水深度(5674346684),平溪區,,,,
廣興河濱公園淹水高度,新店區,,,,
彰化縣大城鄉彰163-1鄉道淹水監控站,大城鄉,,,,
恆春鎮恆南路淹水深度(088898891),恆春鎮,,,,
恆春鎮恆南路淹水深度(18385718549),恆春鎮,,,,
恆春鎮赤崁路淹水深度(088898894),恆春鎮,,,,
恆春鎮赤崁路淹水深度(18385718549-2),恆春鎮,,,,
挖子尾福德宮淹水高度,八里區（挖子尾位於八里區）,,,,
文山區福興路淹水深度(0229312419),文山區,,,,
文山區老泉里淹水深度(0222345422),文山區,,,,
文山區興隆路4段淹水深度(18384374909-2),文山區,,,,
文山區興隆路三段淹水深度(0229320306),文山區,,,,
文山區興隆路二段淹水深度(22603570590),文山區,,,,
文山區興隆路二段淹水深度(0229340140),文山區,,,,
文山區興隆路四段淹水深度(0229399522),文山區,,,,
斗六市保庄里淹水高度,斗六市,,,,
斗南鎮恩惠安養中心淹水深度(6329767793),斗南鎮,,,,
新化區知義里淹水深度(065907726),新化區,,,,
新化區知義里淹水深度(18387494967),新化區,,,,
新市區永就里淹水深度(065982804),新市區,,,,
新店區安和路三段淹水深度(0229465197),新店區,,,,
新店區安和路淹水深度(0222129142),新店區,,,,
新莊區瓊林路淹水深度(0222028532),新莊區,,,,
朴子動物醫院淹水高度,朴子市,,,,
朴子竹村里過埤子_淹水深度,朴子市,,,,
朴子鎮竹村國小淹水深度(6372980410),朴子市（昔稱朴子鎮，現為朴子市）,,,,
東區太原路淹水深度(035335454),東區（新竹市）,,,,
東區太原路淹水深度(18384505479-2),東區（新竹市）,,,,
東義路後庄直排一交會處淹水高度,嘉義縣,,,,
板橋區板城路淹水深度(13657496091),板橋區,,,,
枋寮鄉中正大路淹水深度(18387225229),枋寮鄉,,,,
林邊交流道北側淹水深度(6374093941-2),林邊鄉,,,,
林邊鄉_林邊教會_淹水深度,林邊鄉,,,,
林邊鄉中山路淹水深度(088753271),林邊鄉,,,,
桃園區永安路淹水深度(5674184685),桃園區,,,,
桃園市中壢區淹水高度,中壢區,,,,
梓官區大舍南路淹水深度(076105700),梓官區,,,,
梓官區大舍南路淹水深度(22694440948),梓官區,,,,
梓官區民權街淹水深度(076102790),梓官區,,,,
樹林區中正路淹水深度(0226893945),樹林區,,,,
樹梅坑溪出口處淹水高度,樹林區,,,,
橋頭區筆秀路淹水深度(18369106349-2),橋頭區,,,,
橋頭區筆秀路淹水深度(KSCT-1200),橋頭區,,,,
水上鄉內溪洲排水淹水深度(052605359),水上鄉,,,,
永和區中正路淹水深度(0229203564),永和區,,,,
永和區永貞路淹水深度(0229267583),永和區,,,,
永康區中正南路淹水深度(062434411),永康區,,,,
永康區大灣路淹水深度(6373367312),永康區,,,,
永康區蔦松三街淹水深度(062435274),永康區,,,,
永靖竹仔腳淹水感知器淹水監控站,永靖鄉,,,,
淡水捷運站後方淹水高度,淡水區,,,,
淡水馬偕銅像旁淹水高度,淡水區,,,,
湖西鄉湖東村淹水深度(069920728),湖西鄉（澎湖縣）,,,,
溪州舊濁水淹水監控站,溪州鄉,,,,
溪州部落淹水高度,溪州鄉,,,,
溪州鄉公所淹水深度(048891140),溪州鄉,,,,
溪洲內三排水淹水監控站,溪州鄉,,,,
溪湖向上路64淹水監控站,溪湖鎮,,,,
溪湖四塊厝排水淹水監控站,溪湖鎮,,,,
潭子區四季風情大樓淹水深度(0425367580),潭子區,,,,
潭子區復興路一段淹水深度(0425364341),潭子區,,,,
烏山頭溪出口淹水高度,官田區,,,,
獅子頭下福德宮淹水高度,五股區,,,,
田中八堡圳淹水監控站,田中鎮,,,,
田中和平路淹水監控站,田中鎮,,,,
田中工業區淹水監控站,田中鎮,,,,
田中德安岩淹水監控站,田中鎮,,,,
田寮區小滾水淹水深度(6374278812),田寮區,,,,
田尾田溪路淹水監控站,田尾鄉,,,,
田尾龍鳳宮淹水監控站,田尾鄉,,,,
白地里竹北市淹水高度,竹北市,,,,
礁溪鄉塭底路淹水深度(039884371),礁溪鄉,,,,
社頭山腳路252巷淹水監控站,社頭鄉,,,,
社頭石坑2巷淹水監控站,社頭鄉,,,,
米粉街淹水高度,頭份,,,,
米粉街淹水高度淹水深度,頭份,,,,
線西番雅溝淹水監控站,線西鄉,,,,
美濃區民生路淹水深度(076819140),美濃區,,,,
美濃區民生路淹水深度(18385056781),美濃區,,,,
義竹北華村北華_淹水深度,義竹鄉,,,,
舊港島淹水高度,竹北市,,,,
花蓮市明義街淹水深度(038310644),花蓮市,,,,
芳苑埤腳排水淹水監控站,芳苑鄉,,,,
芳苑草湖郵局淹水監控站,芳苑鄉,,,,
芳苑鄉新寶排水淹水監控站,芳苑鄉,,,,
芳苑鄉新復巷淹水深度(048936973),芳苑鄉,,,,
芳苑鄉興海路淹水深度(048986669),芳苑鄉,,,,
芳苑鄉芳漢路淹水深度(048934223),芳苑鄉,,,,
草屯鎮中正路淹水深度(18387157933-2),草屯鎮,,,,
草屯鎮廓底巷淹水深度(0492561921),草屯鎮,,,,
萬里區大鵬國小淹水深度(6012996532),萬里區,,,,
虎尾鎮堀頭里淹水深度(18387340807),虎尾鎮,,,,
褒忠國中淹水高度,褒忠鄉,,,,
褒忠鄉有才橋淹水深度(6330597119),褒忠鄉,,,,
褒忠鄉鎮安橋淹水深度(6330597119-2),褒忠鄉,,,,
西區垂楊高架橋淹水深度(052275627),西區（嘉義市）,,,,
西區垂楊高架橋淹水深度(18386849102-2),西區（嘉義市）,,,,
西庄村淹水高度,西區（嘉義市）,,,,
豐稠村鹿草焚化爐淹水高度,鹿草鄉,,,,
貢寮區復興街淹水深度(0224942337),貢寮區,,,,
貢寮區復興街淹水深度(18369442767-2),貢寮區,,,,
進興宮淹水高度,社頭鄉,,,,
金城鎮民族路淹水深度(082328024),金城鎮（金門縣）,,,,
金山區三界壇路淹水深度(5674210439),金山區,,,,
金峰鄉太麻里溪嘉蘭村堤岸淹水深度(5674003784),金峰鄉,,,,
金峰鄉拉冷冷部落淹水深度(6013077373),金峰鄉,,,,
金湖鎮復興路一段淹水深度(082336427),金湖鎮（金門縣）,,,,
霧峰區五福路淹水深度(0423303914),霧峰區,,,,
霧峰區育賢路淹水深度(18385458338-2),霧峰區,,,,
頭份鎮米粉街淹水深度(037631149),（現為頭份市）,,,,
鹽埔鄉維新路淹水深度(087627076),鹽埔鄉,,,,
麥寮高中淹水高度,麥寮鄉,,,,
麻豆區埤頭里淹水深度(065704418),麻豆區,,,,
